ОТЧЕТ О СЛОВОФОРМАХ С НЕСКОЛЬКИМИ ВАРИАНТАМИ УДАРЕНИЙ
=========================================================

№1    | Инфинитив: adaptúoti           | Форма: "adaptuotume" (Mes     ) | Варианты: adaptuotumè / adaptúotume
№2    | Инфинитив: adaptúotis          | Форма: "adaptuosis" (Jis/ji  ) | Варианты: adaptúosis / adaptuõsis
№3    | Инфинитив: adýti               | Форма: "adai" (Tu      ) | Варианты: ãdai / adaĩ
№4    | Инфинитив: adýti               | Форма: "adome" (Mes     ) | Варианты: adomè / ãdome
№5    | Инфинитив: aidė́ti              | Форма: "aidi" (Tu      ) | Варианты: áidi / áidi / aĩdi
№6    | Инфинитив: apkálti             | Форма: "apkaltu" (Jis/ji  ) | Варианты: apkaltų̃ / apkáltų
№7    | Инфинитив: apkálti             | Форма: "apkaltu" (Jie/jos ) | Варианты: apkaltų̃ / apkáltų
№8    | Инфинитив: apkáltinti          | Форма: "apkaltinciau" (Aš      ) | Варианты: apkaltinčiaũ / apkáltinčiau
№9    | Инфинитив: apkar̃sti            | Форма: "apkarstu" (Jis/ji  ) | Варианты: apkarstų̃ / apkar̃stų
№10   | Инфинитив: apkar̃sti            | Форма: "apkarstu" (Jie/jos ) | Варианты: apkarstų̃ / apkar̃stų
№11   | Инфинитив: apkeistì            | Форма: "apkeistu" (Jis/ji  ) | Варианты: apkeistų̃ / apkeĩstų
№12   | Инфинитив: apkeistì            | Форма: "apkeistu" (Jie/jos ) | Варианты: apkeistų̃ / apkeĩstų
№13   | Инфинитив: apkérpėti           | Форма: "apkerpeju" (Aš      ) | Варианты: apkérpėju / apkerpė́ju
№14   | Инфинитив: apkérpėti           | Форма: "apkerpeji" (Tu      ) | Варианты: apkérpėji / apkérpėji / apkerpė́ji
№15   | Инфинитив: apkérpėti           | Форма: "apkerpeja" (Jis/ji  ) | Варианты: apkerpė́ja / apkérpėja
№16   | Инфинитив: apkérpėti           | Форма: "apkerpejame" (Mes     ) | Варианты: apkérpėjame / apkerpė́jame
№17   | Инфинитив: apkérpėti           | Форма: "apkerpejate" (Jūs     ) | Варианты: apkérpėjate / apkérpėjate / apkerpė́jate
№18   | Инфинитив: apkérpėti           | Форма: "apkerpejau" (Aš      ) | Варианты: apkerpė́jau / apkérpėjau
№19   | Инфинитив: apkérpėti           | Форма: "apkerpejai" (Tu      ) | Варианты: apkérpėjai / apkerpė́jai
№20   | Инфинитив: apkérpėti           | Форма: "apkerpejo" (Jis/ji  ) | Варианты: apkerpė́jo / apkérpėjo
№21   | Инфинитив: apkérpėti           | Форма: "apkerpejome" (Mes     ) | Варианты: apkérpėjome / apkerpė́jome
